Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
7,750,6792,33,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
2,130,3197,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
7,320,8173,41,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
19,265,4542,29,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
5,725,7170,28,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,790,5821,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
7,475,8199,29,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,1165,5926,42,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3,825,11149,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
9,260,4542,32,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
9,335,7603,25,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
7,340,15570,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,310,3979,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
7,370,11853,13,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,715,5821,47,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
9,125,4125,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
8,135,4490,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
5,505,7065,41,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
7,1530,10636,21,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
30,130,3927,31,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,565,6645,51,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
16,130,3927,30,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
5,1120,5821,48,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,835,6792,46,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,640,7012,34,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
2,690,10005,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
11,130,3050,46,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1425,9028,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
2,370,5821,45,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
6,1590,10005,18,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
9,335,7655,12,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
1,140,4490,23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
7,560,10636,24,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
6,1335,9093,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
14,130,3286,47,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,1125,5469,21,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,825,6540,36,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,1590,10005,23,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
7,720,7065,51,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
13,160,3050,51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
7,690,10005,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
7,465,10190,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
4,440,6540,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
2,130,3050,46,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
9,130,3722,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
